category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Infection Control & Safety","infection-control-safety","Airborne isolation duration","hard","decision-making","high","A patient with confirmed pulmonary tuberculosis has been on appropriate therapy for three weeks and is clinically improving. When can airborne precautions typically be discontinued?","After three consecutive negative sputum smears collected per protocol","After 24 hours of therapy","After fever resolves","Immediately once medication is started","A","Airborne precautions for TB are discontinued after documented clinical improvement and required negative sputum smear results per institutional protocol.","A: Correct because objective microbiologic clearance is required. | B-D: Insufficient to ensure noninfectious status.","tuberculosis | airborne precautions | negative smears","Ending isolation based solely on symptom improvement.","Airborne isolation requires objective clearance criteria.","pass"
"Infection Control & Safety","infection-control-safety","Droplet vs airborne distinction","medium","interpretation","high","Which pathogen requires droplet precautions rather than airborne precautions?","Influenza","Measles","Varicella","Pulmonary tuberculosis","A","Influenza spreads primarily via droplets and requires droplet precautions.","A: Correct droplet transmission. | B-D: Require airborne precautions.","droplet transmission | influenza","Confusing measles or TB with droplet-only organisms.","Differentiate droplet from airborne pathogens.","pass"
"Infection Control & Safety","infection-control-safety","Negative pressure room function","medium","recall","moderate","What is the primary purpose of a negative pressure room?","Prevent contaminated air from escaping into the hallway","Protect the patient from outside contaminants","Increase room oxygen concentration","Improve patient comfort","A","Negative pressure rooms protect others by containing airborne contaminants within the room.","A: Correct containment principle. | B: Positive pressure protects patient. | C-D: Not purpose of isolation rooms.","negative pressure","Reversing positive and negative pressure functions.","Know who the room protects.","pass"
"Infection Control & Safety","infection-control-safety","Sharps injury prevention","medium","decision-making","high","Which action best reduces needlestick injury risk during line placement?","Using safety-engineered sharps devices","Recapping needles carefully","Passing sharps hand-to-hand","Placing used sharps on bedside tray temporarily","A","Safety-engineered devices are proven to reduce sharps injuries.","A: Correct evidence-based prevention. | B-D: Increase exposure risk.","needlestick prevention","Believing careful recapping is safe practice.","Use engineered controls over behavioral reliance.","pass"
"Infection Control & Safety","infection-control-safety","Hand hygiene five moments","medium","recall","moderate","Which is one of the WHO Five Moments for Hand Hygiene?","Before touching a patient","After charting at nursing station","After removing shoes","Before entering hospital lobby","A","Hand hygiene is required before patient contact to prevent transmission.","A: Correct WHO moment. | B-D: Not part of the five defined moments.","WHO hand hygiene","Forgetting hand hygiene before patient contact.","Know standardized infection control frameworks.","pass"
"Infection Control & Safety","infection-control-safety","Outbreak containment","hard","decision-making","high","Multiple patients on a unit develop the same multidrug-resistant organism. What is the most appropriate immediate action?","Notify infection prevention and implement cohorting","Wait for confirmatory cultures on all patients","Transfer all patients to different units","Discontinue isolation precautions","A","Rapid notification and cohorting help limit spread during suspected outbreaks.","A: Correct outbreak containment step. | B: Delays intervention. | C: May spread organism. | D: Inappropriate.","multidrug-resistant | outbreak","Waiting for full confirmation before acting.","Early containment limits transmission.","pass"
"Infection Control & Safety","infection-control-safety","Mask use for source control","easy","decision-making","moderate","A patient with a productive cough is being transported for imaging. What infection control measure is most appropriate?","Place a surgical mask on the patient","Provide N95 only to transporter","No precautions needed","Delay transport indefinitely","A","Source control reduces droplet spread during transport.","A: Correct source control measure. | B: Does not address source control. | C-D: Inappropriate.","transport | cough | source control","Protecting staff but not controlling source.","Mask the patient during transport.","pass"
"Infection Control & Safety","infection-control-safety","Disinfectant selection","medium","decision-making","moderate","Which disinfectant property is most important when cleaning surfaces contaminated with C. difficile?","Sporicidal activity","Fragrance","Rapid evaporation","Low foaming","A","Spore-forming organisms require sporicidal disinfectants.","A: Correct spore coverage. | B-D: Cosmetic or secondary factors.","sporicidal | C. difficile","Using standard disinfectant for spore organisms.","Match disinfectant to organism resilience.","pass"
"Infection Control & Safety","infection-control-safety","Standard precautions scope","easy","recall","high","Standard precautions apply to which patients?","All patients regardless of diagnosis","Only patients with known infection","Only immunocompromised patients","Only ICU patients","A","Standard precautions are universal and apply to all patients.","A: Correct universal application. | B-D: Incorrect limited scope.","standard precautions","Assuming precautions only apply to known infections.","Universal precautions reduce unrecognized transmission.","pass"
"Infection Control & Safety","infection-control-safety","Post-exposure prophylaxis timing","hard","decision-making","high","After a high-risk needle exposure to a patient with known HIV infection, when should post-exposure prophylaxis ideally begin?","As soon as possible, preferably within hours","Within one week","After confirmatory serology in exposed worker","Only if symptoms develop","A","HIV post-exposure prophylaxis is most effective when started immediately.","A: Correct urgent initiation. | B-D: Delay reduces effectiveness.","HIV exposure | prophylaxis timing","Waiting for symptoms or delayed testing.","Time-sensitive interventions require immediate action.","pass"